Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE CLOCKS, by David Mitchell, Random House,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SECRET PLACE, by Tana French, Viking,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE EYE OF HEAVEN, by Clive Cussler and Russell Blake, Putnam,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki Murakami, Knopf,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE LONG WAY HOME, by Louise Penny, Minotaur,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN STREAK, by Sandra Brown, Grand Central,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
DARK BLOOD, by Christine Feehan, Berkley,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
SON OF NO ONE, by Sherrilyn Kenyon, St Martin's,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
WE ARE NOT OURSELVES, by Matthew Thomas, Simon & Schuster,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
ADULTERY, by Paulo Coelho, Knopf,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVE IN DEATH, by J D Robb, Putnam,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CHILDREN ACT, by Ian McEwan, Nan A Talese/ Doubleday,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE WITCH WITH NO NAME, by Kim Harrison, Harper Voyager,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE CLOCKS, by David Mitchell, Random House,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SECRET PLACE, by Tana French, Viking,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE KING'S CURSE, by Philippa Gregory, Touchstone,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
